Generic Name	SMILES	Drug Bank ID	URL	Drug Groups	Score
Chenodeoxycholic acid	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O	DB06777	https://go.drugbank.com/drugs/DB06777	approved	-627.732
Colchiceine	COC1=C(OC)C(OC)=C2C(CCC(NC(C)=O)C3=CC(=O)C(O)=CC=C23)=C1	DB15534	https://go.drugbank.com/drugs/DB15534	approved; experimental	-633.425
Besifloxacin	N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O	DB06771	https://go.drugbank.com/drugs/DB06771	approved	-632.74
Apixaban	COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O	DB06605	https://go.drugbank.com/drugs/DB06605	approved	-628.006
Afatinib	CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1	DB08916	https://go.drugbank.com/drugs/DB08916	approved	-632.826
Tasimelteon	CCC(=O)NC[C@@H]1C[C@H]1C1=CC=CC2=C1CCO2	DB09071	https://go.drugbank.com/drugs/DB09071	approved; investigational	-631.584
Dihydralazine	NNC1=C2C=CC=CC2=C(NN)N=N1	DB12945	https://go.drugbank.com/drugs/DB12945	approved; experimental	-698.643
Pyrophosphoric acid	OP(O)(=O)OP(O)(O)=O	DB04160	https://go.drugbank.com/drugs/DB04160	approved; experimental	-651.574
Betrixaban	COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC1=CC=C(Cl)C=N1	DB12364	https://go.drugbank.com/drugs/DB12364	approved; investigational	-641.347
Edoxaban	CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1	DB09075	https://go.drugbank.com/drugs/DB09075	approved	-631.047
Binimetinib	CN1C=NC2=C(F)C(NC3=CC=C(Br)C=C3F)=C(C=C12)C(=O)NOCCO	DB11967	https://go.drugbank.com/drugs/DB11967	approved; investigational	-703.241
Phenylpropanolamine	[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1	DB00397	https://go.drugbank.com/drugs/DB00397	approved; vet_approved; withdrawn	-636.878
Propylene glycol	CC(O)CO	DB01839	https://go.drugbank.com/drugs/DB01839	approved; investigational	-633.521
Rolapitant	C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F	DB09291	https://go.drugbank.com/drugs/DB09291	approved; investigational	-692.283
Propyl alcohol	CCCO	DB03175	https://go.drugbank.com/drugs/DB03175	approved	-636.502
Boceprevir	[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C	DB08873	https://go.drugbank.com/drugs/DB08873	approved; withdrawn	-630.633
Propanoic acid	[H]CCC(O)=O	DB03766	https://go.drugbank.com/drugs/DB03766	approved; vet_approved	-622.401
Relugolix	CONC(=O)NC1=CC=C(C=C1)C1=C(CN(C)C)C2=C(S1)N(CC1=C(F)C=CC=C1F)C(=O)N(C2=O)C1=CC=C(OC)N=N1	DB11853	https://go.drugbank.com/drugs/DB11853	approved; investigational	-232.321
gamma-Hydroxybutyric acid	OCCCC(O)=O	DB01440	https://go.drugbank.com/drugs/DB01440	approved; illicit; investigational	-651.457
Pyrazinamide	NC(=O)C1=NC=CN=C1	DB00339	https://go.drugbank.com/drugs/DB00339	approved; investigational	-652.828
Bempedoic acid	CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O	DB11936	https://go.drugbank.com/drugs/DB11936	approved; investigational	-633.027
Fulvestrant	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H]	DB00947	https://go.drugbank.com/drugs/DB00947	approved; investigational	-537.224
Raltitrexed	CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	DB00293	https://go.drugbank.com/drugs/DB00293	approved; investigational	-637.376
Imipenem	[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O	DB01598	https://go.drugbank.com/drugs/DB01598	approved	-693.816
Rimonabant	CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Cl)C=C1	DB06155	https://go.drugbank.com/drugs/DB06155	approved; investigational	-476.571
Bosentan	COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1	DB00559	https://go.drugbank.com/drugs/DB00559	approved; investigational	-664.389
Pyridoxal phosphate	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O	DB00114	https://go.drugbank.com/drugs/DB00114	approved; investigational; nutraceutical	-636.903
Dihydroergotamine	[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O	DB00320	https://go.drugbank.com/drugs/DB00320	approved; investigational	-609.08
Echothiophate	CCOP(=O)(OCC)SCC[N+](C)(C)C	DB01057	https://go.drugbank.com/drugs/DB01057	approved	-659.238
Pyridoxine	CC1=C(O)C(CO)=C(CO)C=N1	DB00165	https://go.drugbank.com/drugs/DB00165	approved; investigational; nutraceutical; vet_approved	-632.014
Diacetyl benzoyl lathyrol	C[C@H]1C[C@@]2(OC(C)=O)[C@H]([C@H]1OC(=O)C1=CC=CC=C1)[C@@H](OC(C)=O)C(=C)CC[C@H]1[C@@H](\C=C(C)\C2=O)C1(C)C	DB11260	https://go.drugbank.com/drugs/DB11260	approved	-668.293
Podofilox	[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O	DB01179	https://go.drugbank.com/drugs/DB01179	approved	-623.37
Pyruvic acid	CC(=O)C(O)=O	DB00119	https://go.drugbank.com/drugs/DB00119	approved; investigational; nutraceutical	-710.551
Hesperidin	COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O	DB04703	https://go.drugbank.com/drugs/DB04703	approved; investigational	-578.921
Flavone	O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1	DB07776	https://go.drugbank.com/drugs/DB07776	approved; experimental	-628.665
Gluconic Acid	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	DB13180	https://go.drugbank.com/drugs/DB13180	approved; investigational	-630.996
Apronalide	CC(C)C(CC=C)C(=O)NC(N)=O	DB13221	https://go.drugbank.com/drugs/DB13221	approved	-657.253
D-glucose	[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O	DB01914	https://go.drugbank.com/drugs/DB01914	approved; investigational; vet_approved	-649.071
Amylocaine	CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1	DB09088	https://go.drugbank.com/drugs/DB09088	approved; withdrawn	-710.69
L-Lactic acid	C[C@H](O)C(O)=O	DB14475	https://go.drugbank.com/drugs/DB14475	approved; experimental	-628.947
Hexylcaine	CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1	DB00473	https://go.drugbank.com/drugs/DB00473	approved; withdrawn	-625.078
Dihydroergocristine	[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C	DB13345	https://go.drugbank.com/drugs/DB13345	approved; experimental	-634.076
Betamethasone phosphate	[H][C@@]12C[C@H](C)[C@](O)(C(=O)COP(O)(O)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	DB14669	https://go.drugbank.com/drugs/DB14669	approved; vet_approved	-572.288
Perindopril	[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O	DB00790	https://go.drugbank.com/drugs/DB00790	approved	-635.388
Fingolimod	CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1	DB08868	https://go.drugbank.com/drugs/DB08868	approved; investigational	-710.05
Segesterone acetate	[H][C@@]12CC(=C)[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	DB14583	https://go.drugbank.com/drugs/DB14583	approved; experimental; investigational	-631.008
Metamfetamine	CN[C@@H](C)CC1=CC=CC=C1	DB01577	https://go.drugbank.com/drugs/DB01577	approved; illicit	-635.07
Fluoroestradiol F-18	[H][C@@]12C[C@@H]([18F])[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	DB15690	https://go.drugbank.com/drugs/DB15690	approved	-650.417
Levocarnitine	C[N+](C)(C)C[C@H](O)CC([O-])=O	DB00583	https://go.drugbank.com/drugs/DB00583	approved; investigational	-630.765
Tafamidis	OC(=O)C1=CC=C2N=C(OC2=C1)C1=CC(Cl)=CC(Cl)=C1	DB11644	https://go.drugbank.com/drugs/DB11644	approved; investigational	-633.44
Vardenafil	CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1	DB00862	https://go.drugbank.com/drugs/DB00862	approved	-625.576
Tadalafil	[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1	DB00820	https://go.drugbank.com/drugs/DB00820	approved; investigational	-659.474
Succinic acid	OC(=O)CCC(O)=O	DB00139	https://go.drugbank.com/drugs/DB00139	approved; nutraceutical	-622.199
Regorafenib	CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	DB08896	https://go.drugbank.com/drugs/DB08896	approved	-562.483
Phenylethyl resorcinol	CC(C1=CC=CC=C1)C1=CC=C(O)C=C1O	DB14120	https://go.drugbank.com/drugs/DB14120	approved; experimental	-632.207
Ataluren	OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F	DB05016	https://go.drugbank.com/drugs/DB05016	approved; investigational	-627.323
Tedizolid	CN1N=NC(=N1)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1C[C@H](CO)OC1=O	DB14569	https://go.drugbank.com/drugs/DB14569	approved; investigational	-616.669
Azilsartan medoxomil	CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)N1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1	DB08822	https://go.drugbank.com/drugs/DB08822	approved; investigational	-395.829
Saxagliptin	[H][C@@]12C[C@]1([H])N([C@@H](C2)C#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2	DB06335	https://go.drugbank.com/drugs/DB06335	approved	-625.578
Eluxadoline	COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	DB09272	https://go.drugbank.com/drugs/DB09272	approved; investigational	-618.633
Elagolix	COC1=CC=CC(=C1F)C1=C(C)N(CC2=C(C=CC=C2F)C(F)(F)F)C(=O)N(C[C@H](NCCCC(O)=O)C2=CC=CC=C2)C1=O	DB11979	https://go.drugbank.com/drugs/DB11979	approved; investigational	-574.332
Formestane	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C	DB08905	https://go.drugbank.com/drugs/DB08905	approved; investigational; withdrawn	-652.191
Phenindamine	CN1CCC2=C(C1)C(C1=CC=CC=C21)C1=CC=CC=C1	DB01619	https://go.drugbank.com/drugs/DB01619	approved	-629.444
Riociguat	COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=C(F)C=CC=C2)C2=C1C=CC=N2	DB08931	https://go.drugbank.com/drugs/DB08931	approved	-507.108
Thiamine	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	DB00152	https://go.drugbank.com/drugs/DB00152	approved; investigational; nutraceutical; vet_approved	-636.048
Fostemsavir	COC1=CN=C(N2C=NC(C)=N2)C2=C1C(=CN2COP(O)(O)=O)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1	DB11796	https://go.drugbank.com/drugs/DB11796	approved; investigational	-618.973
Lactulose	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	DB00581	https://go.drugbank.com/drugs/DB00581	approved	-709.775
Aclidinium	OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1	DB08897	https://go.drugbank.com/drugs/DB08897	approved	-474.638
Alogliptin	CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	DB06203	https://go.drugbank.com/drugs/DB06203	approved	-528.147
Urea C-14	N[14C](N)=O	DB09513	https://go.drugbank.com/drugs/DB09513	approved	-634.264
Tedizolid phosphate	CN1N=NC(=N1)C1=CC=C(C=N1)C1=CC=C(C=C1F)N1C[C@H](COP(O)(O)=O)OC1=O	DB09042	https://go.drugbank.com/drugs/DB09042	approved	-548.17
Dihydro-alpha-ergocryptine	[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C	DB11274	https://go.drugbank.com/drugs/DB11274	approved	-628.132
Florbetaben (18F)	CNC1=CC=C(\C=C\C2=CC=C(OCCOCCOCC[18F])C=C2)C=C1	DB09148	https://go.drugbank.com/drugs/DB09148	approved	-566.437
Olodaterol	COC1=CC=C(CC(C)(C)NC[C@H](O)C2=C3OCC(=O)NC3=CC(O)=C2)C=C1	DB09080	https://go.drugbank.com/drugs/DB09080	approved	-227.07
Dacomitinib	COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1	DB11963	https://go.drugbank.com/drugs/DB11963	approved; investigational	-625.443
Pivmecillinam	[H]C(=N[C@@H]1C(=O)N2[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S[C@]12[H])N1CCCCCC1	DB01605	https://go.drugbank.com/drugs/DB01605	approved	-528.771
Trifarotene	CC(C)(C)C1=CC(=CC=C1N1CCCC1)C1=CC(=CC=C1OCCO)C1=CC=C(C=C1)C(O)=O	DB12808	https://go.drugbank.com/drugs/DB12808	approved; investigational	-500.571
Umeclidinium	OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2	DB09076	https://go.drugbank.com/drugs/DB09076	approved	-623.168
Paliperidone	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1	DB01267	https://go.drugbank.com/drugs/DB01267	approved	-628.702
Nitisinone	[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O	DB00348	https://go.drugbank.com/drugs/DB00348	approved; investigational	-707.267
Tafenoquine	COC1=CC(C)=C2C(OC3=CC=CC(=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1	DB06608	https://go.drugbank.com/drugs/DB06608	approved; investigational	-575.134
Apremilast	CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O	DB05676	https://go.drugbank.com/drugs/DB05676	approved; investigational	-618.335
Finafloxacin	[H][C@]12CN(C[C@]1([H])OCCN2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1C#N)C(O)=O	DB09047	https://go.drugbank.com/drugs/DB09047	approved; investigational	-630.89
Lisdexamfetamine	C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	DB01255	https://go.drugbank.com/drugs/DB01255	approved; investigational	-648.554
Lasmiditan	CN1CCC(CC1)C(=O)C1=CC=CC(NC(=O)C2=C(F)C=C(F)C=C2F)=N1	DB11732	https://go.drugbank.com/drugs/DB11732	approved; investigational	-596.028
Milnacipran	CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	DB04896	https://go.drugbank.com/drugs/DB04896	approved; investigational	-655.841
Idelalisib	[H][C@@](CC)(NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1	DB09054	https://go.drugbank.com/drugs/DB09054	approved	-566.135
Crizotinib	[H][C@](C)(OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	DB08865	https://go.drugbank.com/drugs/DB08865	approved	-631.211
Lorcaserin	C[C@H]1CNCCC2=CC=C(Cl)C=C12	DB04871	https://go.drugbank.com/drugs/DB04871	approved	-636.665
Fostamatinib	COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC	DB12010	https://go.drugbank.com/drugs/DB12010	approved; investigational	-632.459
Megestrol acetate	[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DB00351	https://go.drugbank.com/drugs/DB00351	approved; investigational; vet_approved	-656.319
Trametinib	CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=CC=C(I)C=C1F)C1=CC(NC(C)=O)=CC=C1	DB08911	https://go.drugbank.com/drugs/DB08911	approved	-583.432
Clascoterone	[H][C@@]12CC[C@](OC(=O)CC)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	DB12499	https://go.drugbank.com/drugs/DB12499	approved; investigational	-708.853
Revefenacin	CN(CCN1CCC(CC1)OC(=O)NC1=CC=CC=C1C1=CC=CC=C1)C(=O)C1=CC=C(CN2CCC(CC2)C(N)=O)C=C1	DB11855	https://go.drugbank.com/drugs/DB11855	approved; investigational	-403.82
Urea	NC(N)=O	DB03904	https://go.drugbank.com/drugs/DB03904	approved; investigational	-629.157
Isoxsuprine	C[C@H](COC1=CC=CC=C1)N[C@H](C)[C@@H](O)C1=CC=C(O)C=C1	DB08941	https://go.drugbank.com/drugs/DB08941	approved; withdrawn	-640.701
Bromotheophylline	CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O	DB14018	https://go.drugbank.com/drugs/DB14018	approved	-626.053
Risdiplam	CC1=CN2N=C(C=C(C)C2=N1)C1=CC(=O)N2C=C(C=CC2=N1)N1CCNC2(CC2)C1	DB15305	https://go.drugbank.com/drugs/DB15305	approved; investigational	-540.291
Cysteamine	NCCS	DB00847	https://go.drugbank.com/drugs/DB00847	approved; investigational	-691.292
Clofarabine	[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12	DB00631	https://go.drugbank.com/drugs/DB00631	approved; investigational	-654.791
Empagliflozin	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC=C(Cl)C(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C1	DB09038	https://go.drugbank.com/drugs/DB09038	approved	-348.658
Difluocortolone	[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	DB09095	https://go.drugbank.com/drugs/DB09095	approved; investigational; withdrawn	-648.707
Pramipexole	CCCN[C@H]1CCC2=C(C1)SC(N)=N2	DB00413	https://go.drugbank.com/drugs/DB00413	approved; investigational	-652.181
Valdecoxib	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O	DB00580	https://go.drugbank.com/drugs/DB00580	approved; investigational; withdrawn	-562.329
Cenobamate	NC(=O)O[C@@H](CN1N=CN=N1)C1=C(Cl)C=CC=C1	DB06119	https://go.drugbank.com/drugs/DB06119	approved; investigational	-652.002
Lifitegrast	CS(=O)(=O)C1=CC(C[C@H](NC(=O)C2=C(Cl)C3=C(CN(CC3)C(=O)C3=CC=C4C=COC4=C3)C=C2Cl)C(O)=O)=CC=C1	DB11611	https://go.drugbank.com/drugs/DB11611	approved	-384.176
Brexpiprazole	O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1	DB09128	https://go.drugbank.com/drugs/DB09128	approved; investigational	-535.902
Pyrvinium	CN(C)C1=CC2=C(C=C1)[N+](C)=C(\C=C\C1=C(C)N(C(C)=C1)C1=CC=CC=C1)C=C2	DB06816	https://go.drugbank.com/drugs/DB06816	approved	-556.447
Parecoxib	CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1	DB08439	https://go.drugbank.com/drugs/DB08439	approved	-634.726
Acetylcysteine	CC(=O)N[C@@H](CS)C(O)=O	DB06151	https://go.drugbank.com/drugs/DB06151	approved; investigational	-655.295
Relebactam	OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O	DB12377	https://go.drugbank.com/drugs/DB12377	approved; investigational	-695.431
Remdesivir	CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1	DB14761	https://go.drugbank.com/drugs/DB14761	approved; investigational	-629.03
Carglumic acid	NC(=O)N[C@@H](CCC(O)=O)C(O)=O	DB06775	https://go.drugbank.com/drugs/DB06775	approved	-646.67
Isoaminile	CC(C)[C@@](C[C@H](C)N(C)C)(C#N)C1=CC=CC=C1	DB08944	https://go.drugbank.com/drugs/DB08944	approved; withdrawn	-599.142
Ezogabine	CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1	DB04953	https://go.drugbank.com/drugs/DB04953	approved; investigational	-636.434
Levosalbutamol	CC(C)(C)NC[C@H](O)C1=CC(CO)=C(O)C=C1	DB13139	https://go.drugbank.com/drugs/DB13139	approved; investigational	-707.577
Almotriptan	CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2	DB00918	https://go.drugbank.com/drugs/DB00918	approved; investigational	-632.212
Etoricoxib	CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O	DB01628	https://go.drugbank.com/drugs/DB01628	approved; investigational	-634.285
Tazobactam	[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)S2(=O)=O	DB01606	https://go.drugbank.com/drugs/DB01606	approved	-628.01
Gefitinib	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1	DB00317	https://go.drugbank.com/drugs/DB00317	approved; investigational	-687.251
Baloxavir marboxil	[H][C@@]12COCCN1C(=O)C1=C(OCOC(=O)OC)C(=O)C=CN1N2[C@H]1C2=CC=C(F)C(F)=C2CSC2=CC=CC=C12	DB13997	https://go.drugbank.com/drugs/DB13997	approved; investigational	-567.632
Desloratadine	ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1	DB00967	https://go.drugbank.com/drugs/DB00967	approved; investigational	-706.771
Brilliant green cation	CCN(CC)C1=CC=C(C=C1)C(C1=CC=CC=C1)=C1C=CC(C=C1)=[N+](CC)CC	DB11279	https://go.drugbank.com/drugs/DB11279	approved; vet_approved	-639.08
Methylprednisone	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C	DB12952	https://go.drugbank.com/drugs/DB12952	approved; investigational	-636.436
Glutathione	[H][C@](N)(CCC(O)=N[C@@]([H])(CS)C(O)=NCC(O)=O)C(O)=O	DB00143	https://go.drugbank.com/drugs/DB00143	approved; investigational; nutraceutical	-626.436
Desvenlafaxine	CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	DB06700	https://go.drugbank.com/drugs/DB06700	approved; investigational	-717.411
Benzydamine	CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=CC=CC=C12	DB09084	https://go.drugbank.com/drugs/DB09084	approved	-697.487
